Member State,State aid measure,EUR_billion,As a percentage of 2011 GDP,Year
Netherlands,Guarantees (1),40.9,6.8,12/31/11
Austria,Guarantees (1),19.33,6.4,12/31/11
Poland,Guarantees (1),0,0.0,12/31/11
Portugal,Guarantees (1),8.54,5.0,12/31/11
Romania,Guarantees (1),0,0.0,12/31/11
Slovenia,Guarantees (1),2.15,6.0,12/31/11
Slovakia,Guarantees (1),0,0.0,12/31/11
Finland,Guarantees (1),0.12,0.1,12/31/11
Sweden,Guarantees (1),19.92,5.2,12/31/11
United Kingdom,Guarantees (1),158.22,9.1,12/31/11
Belgium,Asset relief interventions,7.73,2.1,12/31/11
Bulgaria,Asset relief interventions,0,0.0,12/31/11
Czech Republic,Asset relief interventions,0,0.0,12/31/11
Denmark,Asset relief interventions,0,0.0,12/31/11
Germany,Asset relief interventions,56.17,2.2,12/31/11
Estonia,Asset relief interventions,0,0.0,12/31/11
Ireland,Asset relief interventions,2.6,1.7,2/29/12
Greece,Asset relief interventions,0,0.0,12/31/11
Spain,Asset relief interventions,2.86,0.3,12/31/11
France,Asset relief interventions,1.2,0.1,12/31/11
Italy,Asset relief interventions,0,0.0,12/31/11
Cyprus,Asset relief interventions,0,0.0,12/31/11
Latvia,Asset relief interventions,0.41,2.0,12/31/11
Lithuania,Asset relief interventions,0,0.0,12/31/11
Luxembourg,Asset relief interventions,0,0.0,12/31/11
Hungary,Asset relief interventions,0,0.0,12/31/11
Malta,Asset relief interventions,0,0.0,12/31/11
Netherlands,Asset relief interventions,5,0.8,12/31/11
Austria,Asset relief interventions,0.4,0.1,12/31/11
Poland,Asset relief interventions,0,0.0,12/31/11
Portugal,Asset relief interventions,0,0.0,12/31/11
Romania,Asset relief interventions,0,0.0,12/31/11
Slovenia,Asset relief interventions,0,0.0,12/31/11
Slovakia,Asset relief interventions,0,0.0,12/31/11
Finland,Asset relief interventions,0,0.0,12/31/11
Sweden,Asset relief interventions,0,0.0,12/31/11
United Kingdom,Asset relief interventions,40.41,2.3,12/31/11
Belgium,Liquidity measures other than guarantees (2),0,0.0,12/31/11
Bulgaria,Liquidity measures other than guarantees (2),0,0.0,12/31/11
Czech Republic,Liquidity measures other than guarantees (2),0,0.0,12/31/11
Denmark,Liquidity measures other than guarantees (2),1.97,0.8,12/31/11
Germany,Liquidity measures other than guarantees (2),4.75,0.2,12/31/11
Estonia,Liquidity measures other than guarantees (2),0,0.0,12/31/11
Ireland,Liquidity measures other than guarantees (2),0.08,0.1,12/31/11
Greece,Liquidity measures other than guarantees (2),6.9,3.2,12/31/11
Spain,Liquidity measures other than guarantees (2),19.31,1.8,12/31/11
France,Liquidity measures other than guarantees (2),0,0.0,12/31/11
Italy,Liquidity measures other than guarantees (2),0,0.0,12/31/11
Cyprus,Liquidity measures other than guarantees (2),0,0.0,12/31/11
Latvia,Liquidity measures other than guarantees (2),0.97,4.9,12/31/11
Lithuania,Liquidity measures other than guarantees (2),0,0.0,12/31/11
Luxembourg,Liquidity measures other than guarantees (2),0.19,0.4,12/31/11
Hungary,Liquidity measures other than guarantees (2),2.13,2.1,12/31/11
Malta,Liquidity measures other than guarantees (2),0,0.0,12/31/11
Netherlands,Liquidity measures other than guarantees (2),30.4,5.1,12/31/11
Austria,Liquidity measures other than guarantees (2),0,0.0,12/31/11
Poland,Liquidity measures other than guarantees (2),0,0.0,12/31/11
Portugal,Liquidity measures other than guarantees (2),2.85,1.7,12/31/11
Romania,Liquidity measures other than guarantees (2),0,0.0,12/31/11
Slovenia,Liquidity measures other than guarantees (2),0,0.0,12/31/11
Slovakia,Liquidity measures other than guarantees (2),0,0.0,12/31/11
Finland,Liquidity measures other than guarantees (2),0,0.0,12/31/11
Sweden,Liquidity measures other than guarantees (2),0,0.0,12/31/11
United Kingdom,Liquidity measures other than guarantees (2),18.55,1.1,12/31/11
,,,,
